player,date,headline,fantasy_impact,category
Chuck Clark,"Fri, Aug 29th 4:39am EDT",The Steelers signed S Chuck Clark. (Source: Adam Schefter on Twitter),Fantasy Impact: Clark is added to the Steelers active roster with the season just over one week away. He'll add depth on the offensive line for then.,Category: Transactions
Max Scharping,"Fri, Aug 29th 4:38am EDT",The Steelers signed OL Max Scharping. (Source: Adam Schefter on Twitter),Fantasy Impact: Scharping is added to the Steelers active roster with the season just over one week away. He'll add depth on the offensive line for then.,Category: Transactions
Donte Kent,"Fri, Aug 29th 4:37am EDT",The Steelers placed CB Donte Kent on injured reserve. (Source: Adam Schefter on Twitter),Fantasy Impact: Kent won't be ready for the start of the season for Pittsburgh.,Category: Injury Updates
Luke Felix-Fualalo,"Fri, Aug 29th 4:33am EDT",The Eagles signed T Luke Felix-Fualalo to their practice squad. (Source: Zach Berman on Twitter),Fantasy Impact: Felix-Fualalo was picked up with the International Player Exemption.,Category: Transactions
Gee Scott Jr.,"Fri, Aug 29th 4:32am EDT",The Patriots released TE Gee Scott Jr. (Source: Mark Daniels on Twitter),Fantasy Impact: Scott was one of three players released by New England. He'll likely seek another opportunity on a practice squad.,Category: Transactions
Cam Riley,"Fri, Aug 29th 4:30am EDT",The Patriots released LB Cam Riley. (Source: Mark Daniels on Twitter),Fantasy Impact: Riley was one of three players released by New England. He'll likely seek another opportunity on a practice squad.,Category: Transactions
Brandon Crossley,"Fri, Aug 29th 4:29am EDT",The Patriots released CB Brandon Crossley from their practice squad. (Source: Mark Daniels on Twitter),Fantasy Impact: Crossley was one of three players released by New England. He'll likely seek another opportunity on a practice squad.,Category: Transactions
Mark Robinson,"Fri, Aug 29th 4:28am EDT",The Patriots signed LB Mark Robinson to their practice squad.,Fantasy Impact: Robinson will add depth for the Patriots on their linebacker room. He was one of four players added to their practice squad.,Category: Transactions
Fabien Lovett,"Fri, Aug 29th 4:26am EDT",The Patriots signed DL Fabien Lovett to their practice squad. (Source: Mark Daniels on Twitter),Fantasy Impact: Lovett will add depth for the Patriots on their defensive line. He was one of four players added to their practice squad.,Category: Transactions
Cory Durden,"Fri, Aug 29th 4:25am EDT",The Patriots signed DL Cory Durden to their practice squad. (Source: Mark Daniels on Twitter),Fantasy Impact: Durden will add depth for the Patriots on their defensive line. He was one of four players added to their practice squad.,Category: Transactions
Corey Ballentine,"Fri, Aug 29th 4:23am EDT",The Patriots signed CB Corey Ballentine to their practice squad. (Source: Mark Daniels on Twitter),Fantasy Impact: Ballentine was released by the Packers. He'll add depth for the Patriots secondary. He was one of four players added to their practice squad.,Category: Transactions
Foster Sarell,"Fri, Aug 29th 4:20am EDT",The Chargers signed OL Foster Sarell to their practice squad. (Source: Aaron Wilson on Twitter),Fantasy Impact: Sarell will add depth on the offensive line for the Chargers.,Category: Transactions
Alaric Jackson,"Fri, Aug 29th 4:19am EDT",The Rams say Alaric Jackson will participate in practice on Monday. (Source: Around the NFL on Twitter),Fantasy Impact: Jackson has officially been cleared to resume practicing. He'll likely have to work his way back into game shape.,Category: Injury Updates
Marvin Mims Jr.,"Fri, Aug 29th 4:17am EDT",The Broncos say Marvin Mims Jr. will return to practice on Monday. (Source: Around the NFL on Twitter),Fantasy Impact: Mims departed practice early on Wednesday. He'll miss a few days before he returns next week.,Category: Injury Updates
Jauan Jennings,"Fri, Aug 29th 4:15am EDT",Jauan Jennings was not seen at practice on Thursday. (Source: Noah Furtado on Twitter),"Fantasy Impact: With a little over one week away till the season opener for the 49ers against the Seahawks, the status of Jennings remains uncertain.",Category: Injury Updates
Tristan Wirfs,"Fri, Aug 29th 4:14am EDT",Bucs GM Jason Licht said the team hopes Tristan Wirfs can return in the first month of the season. (Source: Rick Stroud on Twitter),"Fantasy Impact: Licht said he hopes Wirfs can return sooner than Chris Godwin who is expected to miss the first month, if not more time. Wirfs passed his physical earlier in the week.",Category: Injury Updates
Greg Joseph,"Fri, Aug 29th 4:11am EDT",The Bills hosted K Greg Joseph for a workout on Thursday. (Source: Jordan Schultz on Twitter),Fantasy Impact: Joseph was recently released by the 49ers. He was one of three kickers who worked out for Buffalo. He continues to seek a new team before the start of the season.,Category: Transactions
Zane Gonzalez,"Fri, Aug 29th 4:09am EDT",The Bills hosted K Zane Gonzalez for a workout on Thursday. (Source: Jordan Schultz on Twitter),Fantasy Impact: Gonzalez was released by the Commanders earlier in the offseason. He was one of three kickers who worked out for Buffalo. He continues to seek a new team before the start of the season.,Category: Transactions
Eddy Pineiro,"Fri, Aug 29th 4:08am EDT",The Bills hosted K Eddy Pineiro for a workout on Thursday. (Source: Jordan Schultz on Twitter),Fantasy Impact: Pineiro was one of three kickers who worked out for Buffalo. He continues to seek a new team before the start of the season.,Category: Transactions
Ambry Thomas,"Fri, Aug 29th 4:07am EDT",The Eagles signed DB Ambry Thomas to their practice squad. (Source: Jordan Schultz on Twitter),"Fantasy Impact: Thomas was previously with the 49ers. Still just 25 years old, he'll add depth in the secondary for the Eagles.",Category: Transactions
Micah Parsons,"Thu, Aug 28th 5:03pm EDT","Micah Parsons has been traded to the Green Bay Packers and will sign a 4-year, $188 million deal. Dallas gets two first-rounders in the deal. (Source: Ian Rapoport on X)","Fantasy Impact: Parsons has been at odds with the Cowboys' front office all offseason, and with owner Jerry Jones unwilling to budge on the money side of things, Parsons will join the Packers and give them a lethal front seven. It's a big blow to Dallas fans, but on the bright side for fantasy, the Cowboys will likely throw a lot more with their defense missing their star player.",
Austin Booker,"Thu, Aug 28th 4:23pm EDT",Austin Booker (knee) has been placed on IR and will miss the first four weeks of the regular season. (Source: Kevin Fishbain on Twitter),"Fantasy Impact: Booker, who is going into his second NFL season, was having a strong preseason for the Bears. Unfortunately, he won't be able to carry the momentum into the first month of the season due to a knee injury. A fifth-round draft pick in 2024, Booker recorded 21 total tackles and 1.5 sacks over 17 games as a rookie.",Category: Injury Updates
Chris Godwin Jr.,"Thu, Aug 28th 4:14pm EDT",Bucs GM Jason Licht framed Chris Godwins return as likely in Week 5 or later. (Source: Greg Auman on Twitter),"Fantasy Impact: This would put a possible return for Godwin around Week 5. He was thought to have a chance to return earlier after he avoided IR, but the Bucs won't rush him back. Emeka Egbuka should play a bigger role early in the season in the slot for Tampa Bay.",Category: Injury Updates
L'Jarius Sneed,"Thu, Aug 28th 2:01pm EDT",Titans coach Brian Callahan said L'Jarius Sneed is trending towards being ready for the opener against the Broncos. (Source: Turron Davenport on Twitter),"Fantasy Impact: Sneed returned to practice last week. ""He's looked good,"" Callahan said. ""We're going to keep building his volume to get him ready for Wk 1.""",Category: Injury Updates
Terry McLaurin,"Thu, Aug 28th 2:00pm EDT",Terry McLaurin was seen catching passes today as he logged his second consecutive practice since ending his hold-in. (Source: NBC),"Fantasy Impact: This is great news for the Commanders, getting their WR1 back on the field to log reps and help cement more chemistry with Jayden Daniels before Washington's Week 1 matchup with the New York Giants. His ADP has taken a bit of a hit from not practicing, but he could offer a good buying opportunity. Don't expect McLaurin to be fed a massive amount, as he averaged just over 6.8 targets/game last season and does damage after the catch. McLaurin made 82 receptions along with 13 touchdowns for 1,096 yards in 2024, which marks the fifth season in a row he has eclipsed the 1,000-yard mark.",Category: Rumors
Shaquill Griffin,"Thu, Aug 28th 1:59pm EDT",The Seahawks re-signed CB Shaquill Griffin to their practice squad. (Source: Mike Dugar on Twitter),Fantasy Impact: Griffin was released by Seattle earlier this week. He'll add depth in the secondary on their practice squad.,Category: Transactions
Anthony Campbell,"Thu, Aug 28th 1:58pm EDT",The Seahawks waived DT Anthony Campbell. (Source: Mike Dugar on Twitter),Fantasy Impact: Campbell had signed with Seattle in May. He gets released with the Seahawks bringing back Shaquill Griffin.,Category: Transactions
Ryan Hayes,"Thu, Aug 28th 1:56pm EDT",The Falcons signed OT Ryan Hayes to their practice squad. (Source: Terrin Waack on Twitter),Fantasy Impact: Hayes will add depth on the offensive line for Atlanta.,Category: Transactions
Jamal Agnew,"Thu, Aug 28th 1:54pm EDT",Falcons coach Raheem Morris said Jamal Agnew will be the punt returner and kickoff returner. (Source: D. Orlando Ledbetter on Twitter),Fantasy Impact: Agnew agreed to a deal with Atlanta in free agency. He'll improve the special teams for the Falcons.,
Xavier Watts,"Thu, Aug 28th 1:52pm EDT",Falcons coach Raheem Morris declared Xavier Watts as the starting safety. (Source: D. Orlando Ledbetter on Twitter),Fantasy Impact: Watts performed well enough in training camp to earn the starting role. Billy Bowman was also named the starting nickel back.,
Jordan Fuller,"Thu, Aug 28th 1:50pm EDT",The Falcons re-signed S Jordan Fuller. (Source: Aaron Wilson on Twitter),Fantasy Impact: Fuller was brought back on the Falcons 53-man roster. He'll add depth in the Falcons secondary.,Category: Transactions
Hunter Renfrow,"Thu, Aug 28th 1:20pm EDT",The Panthers reportedly aren't the only team interested in WR Hunter Renfrow. (Source: David Newton on Twitter),Fantasy Impact: It will be up to Renfrow where he wants to go after he was released by Carolina earlier this week. He should sign before the season starts next week.,Category: Rumors
Kyzir White,"Thu, Aug 28th 1:18pm EDT",Free agent LB Kyzir White is visiting the Colts on Thursday. (Source: Adam Schefter on Twitter),Fantasy Impact: White also visited the Lions at the end of July. He should find a landing spot before the season.,Category: Rumors
Bralen Trice,"Thu, Aug 28th 1:17pm EDT",The Falcons placed EDGE Bralen Trice on injured reserve. (Source: Around the NFL on Twitter),Fantasy Impact: Trice had been dealing with a knee injury earlier in training camp. He won't be ready to go for the start of the season.,Category: Injury Updates
Patrick McMorris,"Thu, Aug 28th 1:15pm EDT",The Giants signed S Patrick McMorris to their practice squad. (Source: Dan Duggan on Twitter),Fantasy Impact: McMorris appeared in six games on special teams as a rookie for the Dolphins last season. He'll add depth in the secondary and on special teams for the Giants.,Category: Transactions
Swayze Bozeman,"Thu, Aug 28th 1:13pm EDT",The Giants signed LB Swayze Bozeman to their practice squad. (Source: Dan Duggan on Twitter),Fantasy Impact: Bozeman spent most of last season on the Chiefs practice squad. He was waived by the Bears earlier this week.,Category: Transactions
DeVonta Smith,"Thu, Aug 28th 1:11pm EDT",DeVonta Smith was on the practice field Wednesday after tending to a nagging groin injury. (Source: Jeff McLane on X),"Fantasy Impact: DeVonta Smith, as well as fellow wide receiver A.J. Brown were participating in practice yesterday which is a great sign for his week 1 outlook. Smith is currently the 26th ranked wide receiver in Fantasy Pros Half PPR rankings and will see an ample amount of opportunities catching balls as the WR2 in Philly. Keep in mind A.J. Brown is prone to injury and if he goes down, Smith will immediately slide into the WR1 role.",Category: Injury Updates
Jalen Coker,"Thu, Aug 28th 1:04pm EDT",Panthers GM Dan Morgan told reporters WR Jalen Coker will start in the slot for the team. (Source: Mike Kaye on Twitter),Fantasy Impact: Coker was able to show flashes in limited opportunity last season. He'll take on an expanded role following the trade of Adam Thielen.,
Tyreek Hill,"Thu, Aug 28th 1:02pm EDT",Dolphins coach Mike McDaniel said Tyreek Hill remains on track to be healthy for the start of the season. (Source: Cameron Wolfe on Twitter),Fantasy Impact: Hill was back at practice on Thursday. He should be fully good to go for Sunday's season opener next week.,Category: Injury Updates
De'Von Achane,"Thu, Aug 28th 1:00pm EDT",Dolphins coach Mike McDaniel said De'Von Achane remains on track to be healthy for the start of the season. (Source: Cameron Wolfe on Twitter),Fantasy Impact: Achane remained sidelined from practice on Wednesday. His status will need to be monitored in practice into next week.,Category: Injury Updates
JaMycal Hasty,"Thu, Aug 28th 12:58pm EDT",The Dolphins signed RB JaMycal Hasty to their practice squad. (Source: Cameron Wolfe on Twitter),Fantasy Impact: Hasty was released by the Patriots earlier in the week. He'll add depth in the Dolphins backfield.,Category: Transactions
Darnell Mooney,"Thu, Aug 28th 12:56pm EDT",Darnell Mooney was back at practice for the first time on Thursday since his injury. (Source: Terrin Waack on Twitter),Fantasy Impact: It is the first day of practice back for Mooney since his shoulder injury early in training camp. He'll have a chance to be back for the start of the season.,Category: Injury Updates
A.J. Brown,"Thu, Aug 28th 12:50pm EDT",A.J. Brown was spotted on the practice field Wednesday which is great news for both the Eagles and fantasy managers alike. (Source: Zach Berman on X),"Fantasy Impact: A.J. Brown was sidelined for most of training camp this season due to a nagging hamstring ailment. He was spotted in warmups before the final preseason game but ultimately, didn't play. This should inject some confidence into those who are looking at rostering the number one in Philly's receiving corps.",Category: Injury Updates
Russell Gage Jr.,"Thu, Aug 28th 12:33pm EDT",The San Francisco 49ers bought WR Russell Gage Jr. back to their 53-man roster. (Source: Ian Rapoport on Twitter),Fantasy Impact: Gage had been released earlier in the week. He could be playing a role in Week 1 pending the status of Jauan Jennings.,Category: Transactions
Quinton Bohanna,"Thu, Aug 28th 12:32pm EDT",The Seahawks re-signed DT Quinton Bohanna to their practice squad. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Bohanna spent last year and this preseason with Seattle. He'll add depth on the Seahawks defensive line.,Category: Transactions
Marcus Epps,"Thu, Aug 28th 12:30pm EDT",The Eagles signed veteran safety Marcus Epps. (Source: Tom Pelissero on Twitter),Fantasy Impact: Epps was released by the Patriots earlier this week. He'll add more experience in the Eagles secondary.,Category: Transactions
JuJu Brents,"Thu, Aug 28th 12:28pm EDT",The Dolphins claimed DB JuJu Brents off waivers. (Source: Adam Schefter on Twitter),Fantasy Impact: Brents was waived by the Colts earlier this week. He'll add depth in the Dolphins secondary.,Category: Transactions
Trevor Keegan,"Thu, Aug 28th 12:27pm EDT",The Eagles waived G Trevor Keegan. (Source: Adam Schefter on Twitter),Fantasy Impact: Keegan was a fifth round pick for the Eagles last year. He will head to waivers.,Category: Transactions
Derion Kendrick,"Thu, Aug 28th 12:23pm EDT",The Seahawks signed CB Derion Kendrick. (Source: Ari Meirov on Twitter),Fantasy Impact: Kendrick remains in the NFC West after he was released by the Rams. He'll add depth in the Seahawks secondary.,Category: Transactions
Bailey Zappe,"Thu, Aug 28th 12:21pm EDT",The Browns signed QB Bailey Zappe. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Zappe was waived by the Chiefs earlier this week. He'll add depth in the Browns quarterback room.,Category: Transactions
Courtney Jackson,"Thu, Aug 28th 12:20pm EDT",The Seahawks signed WR Courtney Jackson to their practice squad. (Source: Mike Klis on Twitter),Fantasy Impact: Jackson was released by the Broncos. He'll add depth in the Seahawks wide receiver room.,Category: Transactions
Dan Skipper,"Thu, Aug 28th 12:18pm EDT",The Lions re-signed OL Dan Skipper to their practice squad. (Source: Tom Pelissero on Twitter),Fantasy Impact: Skipper was released by Detroit earlier in the week. He'll remain in a depth role.,Category: Transactions
Chris Paul Jr.,"Thu, Aug 28th 12:17pm EDT",The Seahawks signed LB Chris Paul Jr. to their practice squad. (Source: Ryan Talbot on Twitter),Fantasy Impact: Paul remains in the NFC West after he was released by the Rams. He'll add depth to the Seahawks linebacker room.,Category: Transactions
Jaylen Wright,"Thu, Aug 28th 11:42am EDT",Jaylen Wright underwent a small procedure that is expected to keep him out multiple weeks. It is not expected to be season-ending but it appears it will take him several weeks to recover. (Source: Marcel Louis-Jacques on X),"Fantasy Impact: Wright was already on the outs for fantasy managers this season after a disappointing preseason. His value just took yet another massive hit with this news. He should be off draft boards now, and Ollie Gordon becomes an even more intriguing and important name to know in the Miami backfield.",Category: Injury Updates
Asim Richards,"Thu, Aug 28th 4:20am EDT",The Cowboys traded OL Asim Richards to the New Orleans Saints. (Source: Adam Schefter on Twitter),Fantasy Impact: Richards will add depth on the offensive line for the Saints heading into the season.,Category: Transactions
Foster Moreau,"Thu, Aug 28th 4:18am EDT",The Saints placed TE Foster Moreau on the PUP list. (Source: Nick Underhill on Twitter),Fantasy Impact: Moreau missed most of training camp with the injury. He'll remain sidelined to start the season.,Category: Injury Updates
Russ Yeast,"Thu, Aug 28th 4:17am EDT",The Bengals signed S Russ Yeast to their practice squad. (Source: Aaron Wilson on Twitter),Fantasy Impact: Yeast was most recently with the Texans. He'll add depth in the Bengals secondary.,Category: Transactions
Jared Wayne,"Thu, Aug 28th 4:15am EDT",The Texans signed WR Jared Wayne to their practice squad. (Source: Aaron Wilson on Twitter),Fantasy Impact: Wayne had been waived by Houston in the first week of August. He'll add depth in the Texans wide receiver room.,Category: Transactions
Terrace Marshall Jr.,"Thu, Aug 28th 4:14am EDT",The Eagles signed WR Terrace Marshall Jr. to their practice squad. (Source: Around the NFL on Twitter),Fantasy Impact: Marshall will continue to add depth in the Eagles wide receiver room.,Category: Transactions
Evan Anderson,"Thu, Aug 28th 4:12am EDT",The 49ers waived DT Evan Anderson. (Source: Matt Barrows on Twitter),Fantasy Impact: Anderson loses his roster spot ahead of the season. He'll likely seek another opportunity.,Category: Transactions
Carter Warren,"Thu, Aug 28th 4:11am EDT",The Falcons signed OT Carter Warren to their practice squad. (Source: Jeremy Fowler on Twitter),Fantasy Impact: Warren fourth-round pick in 2023. He was released by the Jets and will add depth to a banged up Falcons offensive line.,Category: Transactions
Chazz Surratt,"Thu, Aug 28th 4:09am EDT",The Seahawks signed LB Chazz Surratt to their active roster. (Source: Mike Garafolo on Twitter),Fantasy Impact: Surratt remains in the NFC West after he was released by the 49ers. He'll add depth in the Seahawks linebacker room.,Category: Transactions
Zion Childress,"Thu, Aug 28th 4:07am EDT",The Cowboys waived CB Zion Childress. (Source: Jon Machota on Twitter),Fantasy Impact: Childress will likely seek another opportunity on a practice squad.,Category: Transactions
Andrew Booth Jr.,"Thu, Aug 28th 4:06am EDT",The Cowboys waived CB Andrew Booth Jr. (Source: Jon Machota on Twitter),Fantasy Impact: Booth will likely seek another opportunity on a practice squad.,Category: Transactions
Theo Johnson,"Thu, Aug 28th 4:05am EDT",Theo Johnson was not seen at Giants practice on Wednesday. (Source: Dan Duggan on Twitter),Fantasy Impact: Johnson has not been seen since the teams second preseason game. His status for the start of the season is up in the air.,Category: Injury Updates
Landon Dickerson,"Thu, Aug 28th 4:03am EDT",Landon Dickerson was able to practice on Wednesday. (Source: Dave Zangaro on Twitter),Fantasy Impact: Dickerson underwent a minor procedure on his knee earlier in August. He has another week to till the Eagles season opener.,Category: Injury Updates
Andrew Thomas,"Thu, Aug 28th 4:01am EDT",Andrew Thomas was at practice on Wednesday. (Source: Jordan Raanan on Twitter),Fantasy Impact: It is a good sign with the regular season 11 days away after Thomas was not at practice on Monday.,Category: Injury Updates
Jacardia Wright,"Thu, Aug 28th 4:00am EDT",The Seahawks re-signed RB Jacardia Wright to their practice squad. (Source: Brady Henderson on Twitter),Fantasy Impact: Wright was released from the Seahawks 53-man roster. He'll add depth on their practice squad.,Category: Transactions
Jarrick Bernard-Converse,"Thu, Aug 28th 1:25am EDT",The Browns claimed DB Jarrick Bernard-Converse off waivers. (Source: Adam Schefter on Twitter),Fantasy Impact: Bernard-Converse was waived by the Jets earlier this week. He'll add depth in the secondary for Cleveland.,Category: Transactions
Junior Bergen,"Thu, Aug 28th 1:23am EDT",The 49ers plan on signing WR/KR Junior Bergen to the practice squad once he clears waivers. (Source: Mike Garafolo on Twitter),Fantasy Impact: Bergen was the only one of the 49ers 11 draft picks waived. He'll remain with the team.,Category: Transactions
Nyheim Miller-Hines,"Thu, Aug 28th 1:21am EDT",The Chargers re-signed RB Nyheim Miller-Hines to their practice squad. (Source: Tom Pelissero on Twitter),Fantasy Impact: Hines remains with the Chargers after being released. He'll hold a depth role heading into the season.,Category: Transactions
Jalen Reagor,"Thu, Aug 28th 1:20am EDT",The Chargers re-signed WR Jalen Reagor to their practice squad. (Source: Tom Pelissero on Twitter),Fantasy Impact: Reagor remains with the Chargers after being released. He'll hold a depth role heading into the season.,Category: Transactions
Tony Jefferson II,"Thu, Aug 28th 1:19am EDT",The Chargers re-signed DB Tony Jefferson II to their practice squad. (Source: Tom Pelissero on Twitter),Fantasy Impact: Jefferson remains with the Chargers after being released. He'll hold a depth role heading into the season.,Category: Transactions
Xavier Truss,"Thu, Aug 28th 1:15am EDT",The Saints claimed G Xavier Truss off waivers. (Source: Adam Schefter on Twitter),Fantasy Impact: Truss was waived by the Broncos. He'll provide depth on the offensive line for New Orleans.,Category: Transactions
Adrian Martinez,"Thu, Aug 28th 1:12am EDT",The 49ers signed QB Adrian Martinez to their practice squad. (Source: Matt Maiocco on Twitter),Fantasy Impact: Martinez was waived by the Jets earlier this week. He'll add depth in the 49ers quarterback room.,Category: Transactions
Andre Baccellia,"Thu, Aug 28th 1:01am EDT",The Cardinals re-signed WR Andre Baccellia to their practice squad. (Source: Adam Schefter on Twitter),Fantasy Impact: Baccellia remains with Arizona after being released. He'll hold a depth role heading into the season.,Category: Transactions
Michael Carter,"Thu, Aug 28th 1:00am EDT",The Cardinals re-signed RB Michael Carter to their practice squad. (Source: Adam Schefter on Twitter),Fantasy Impact: Carter remains with Arizona after being released. He'll hold a depth role heading into the season.,Category: Transactions
Simi Fehoko,"Thu, Aug 28th 12:59am EDT",The Cardinals re-signed WR Simi Fehoko to their practice squad. (Source: Adam Schefter on Twitter),Fantasy Impact: Fehoko remains with Arizona after being released. He'll hold a depth role heading into the season.,Category: Transactions
Tejhaun Palmer,"Thu, Aug 28th 12:58am EDT",The Cardinals re-signed WR Tejhaun Palmer to their practice squad. (Source: Adam Schefter on Twitter),Fantasy Impact: Palmer remains with Arizona after being released. He'll hold a depth role heading into the season.,Category: Transactions
Dontayvion Wicks,"Wed, Aug 27th 6:02pm EDT",Dontayvion Wicks (calf) is back at practice for the Packers on Wednesday. (Source: Bill Huber on Twitter),"Fantasy Impact: Wicks is still recovering from a calf injury but was able to take part in Green Bay's practice on Wednesday. That's a hopeful sign that he will be back for Week 1, but it's unclear if that will be the case or not at this point.",Category: Injury Updates
Jayden Reed,"Wed, Aug 27th 6:01pm EDT",Jayden Reed (foot) participated in Green Bay's practice on Wednesday. (Source: Bill Huber on Twitter),"Fantasy Impact: The Packers got a few key players back at practice on Wednesday, including Reed, who has been managing a foot injury for a while now. This is a step in the right direction for his recovery and he could be ready to go sooner rather than later, possibly by the time that Week 1 rolls around.",Category: Injury Updates
Khalil Shakir,"Wed, Aug 27th 5:58pm EDT",Khalil Shakir (ankle) returned to practice for the Bills on Wednesday. (Source: Katherine Fitzgerald on Twitter),"Fantasy Impact: The veteran wideout was able to return to practice on Wednesday after being sidelined for a few weeks due to an ankle injury. This is a good sign for his Week 1 availability, but fantasy managers should still keep tabs on updates about his health for the foreseeable future.",Category: Injury Updates
Travis Hunter,"Wed, Aug 27th 5:56pm EDT",Travis Hunter will be good to go for Week 1 of the NFL season. (Source: Demetrius Harvey on Twitter),"Fantasy Impact: The rookie was previously managing an upper body injury, but he is now back to full health and should be good to go for Week 1, barring any unforeseen setbacks. It remains to be seen what his role will be for the Jaguars early on in the season.",Category: Injury Updates
Ikem Ekwonu,"Wed, Aug 27th 5:47pm EDT",Panthers LT Ikem Ekwonu is considered as day to day. (Source: Joe Person on Twitter),Fantasy Impact: Ekwonu remains likely be to be available for the season opener next week.,Category: Injury Updates
Jacob Cowing,"Wed, Aug 27th 5:45pm EDT",The 49ers placed WR Jacob Cowing on injured reserve. (Source: Nick Wagoner on Twitter),Fantasy Impact: Cowing recently re-aggravated a hamstring injury he had been dealing with earlier in training camp. He'll miss at least the first four weeks of the season.,Category: Injury Updates
Cole Strange,"Wed, Aug 27th 5:43pm EDT",The Browns signed G Cole Strange to their practice squad.,Fantasy Impact: Strange quickly finds a new home after he had been released by the Patriots. He should have a long-term role in Cleveland.,Category: Transactions
Dalton Risner,"Wed, Aug 27th 5:41pm EDT",The Bengals signed G Dalton Risner. (Source: Jordan Schultz on Twitter),"Fantasy Impact: Risner also visited the Seahawks, but he likely chose the Bengals because he has a better chance to immediately start. He should be an upgrade at right guard for Cincinnati.",Category: Transactions
Audric Estime,"Wed, Aug 27th 4:15pm EDT",Audric Estime is signing with the Eagles practice squad. (Source: Parker Gabriel on Twitter),"Fantasy Impact: Estime did not stay a free agent for long after being cut by the Broncos earlier in the week, as the Eagles are now signing him on as a member of their practice squad. Fantasy managers shouldn't expect him to have much of a role for the team early on in the season.",Category: Transactions
Greg Dulcich,"Wed, Aug 27th 4:13pm EDT",Greg Dulcich is signing a deal with the Dolphins to join their practice squad. (Source: Tom Pelissero on Twitter),"Fantasy Impact: The veteran tight end was surprisingly cut by the Giants earlier in the week after having an impressive showing throughout the preseason. He is now joining the Dolphins as a member of their practice squad, and he's a real candidate to make an impact at some point during the season with Darren Waller being the most notable name ahead of him on the depth chart.",Category: Transactions
Jordan Love,"Wed, Aug 27th 4:10pm EDT",Jordan Love (thumb) is practicing in full for the Packers on Wednesday. (Source: Matt Schneidman on Twitter),"Fantasy Impact: Love recently underwent a minor procedure to repair a thumb injury on his non-throwing hand. It seems that his recovery is going to plan, as he will be a full participant at practice on Wednesday and is expected to be ready to go by Week 1, which is great news for all of Green Bay's skill-position players.",Category: Injury Updates
Mark Andrews,"Wed, Aug 27th 4:08pm EDT",Mark Andrews returned to practice for the Ravens on Wednesday. (Source: Jeff Zrebiec on Twitter),"Fantasy Impact: Andrews was sidelined from practice for a little while due to an undisclosed injury of some kind, but he was back out on the practice field for the Ravens on Wednesday. Barring any unforeseen setbacks, it looks like he should be ready for Week 1 of the season.",Category: Injury Updates
Darren Waller,"Wed, Aug 27th 4:07pm EDT",Darren Waller participated in team drills for the Dolphins on Wednesday. (Source: Marcel Louis-Jacques on Twitter),"Fantasy Impact: Waller has spent much of the offseason ramping up his conditioning after spending about a year in retirement. It looks like he is close to game shape, however, as he is now participating in team drills with the Dolphins at practice. He doesn't project to be a fantasy-relevant player this year but could be a contributor for the Dolphins with Jonnu Smith no longer on the team.",Category: Injury Updates
Robert Woods,"Wed, Aug 27th 4:00pm EDT",Robert Woods is signing a deal with the Steelers to join their practice squad. (Source: Teresa Varley),Fantasy Impact: Woods will be back in Pittsburgh for the start of the regular season as a member of their practice squad after being previously cut by the team. He isn't expected to have much of a role for the foreseeable future.,Category: Transactions
Trey Sermon,"Wed, Aug 27th 3:58pm EDT",Trey Sermon has signed with the Steelers practice squad. (Source: Teresa Varley),"Fantasy Impact: To no surprise, Sermon will return to the Steelers as a member of their practice squad. He's a journeyed NFL veteran, so it's possible that he will see a small amount of real action this year in the event of an injury to someone ahead of him on the depth chart.",Category: Transactions
Jelani Woods,"Wed, Aug 27th 3:05pm EDT",Jelani Woods has been claimed by the New York Jets (Source: Tom Pelissero on X),"Fantasy Impact: After two seasons with the Indianapolis Colts, the tight end will be battling for the TE2 position with Jeremy Ruckert. He doesn't offer much, if any fantasy value as of now.",Category: Transactions
Malachi Corley,"Wed, Aug 27th 2:50pm EDT",Former New York Jets wide receiver Malachi Corley is signing with the Cleveland Browns' practice squad after being cut and clearing waivers. (Source: Jordan Schultz on Twitter),"Fantasy Impact: Corley struggled as a rookie in New York, totaling 42 scrimmage yards on five touches with just three catches. He also scored zero touchdowns, infamously dropping the ball at the goal line during a celebration. While the Jets expressed that he was one of their top prospects in the 2024 NFL Draft, the new management may not have had the same optimism. He gets a chance to reset in a new environment on the Browns' practice squad.",Category: Transactions
Riley Patterson,"Wed, Aug 27th 2:46pm EDT",The Dolphins have signed K Riley Patterson to their practice squad. (Source: Cameron Wolfe on Twitter ),Fantasy Impact: Patterson will be elevated from the practice squad to serve as the team's kicker until Jason Sanders returns from injured reserve. Patterson converted on 4-of-7 field goal attempts in five games last season.,Category: Transactions
DJ Uiagalelei,"Wed, Aug 27th 2:44pm EDT",The Chargers have signed QB DJ Uiagalelei to their practice squad. (Source: Tom Pelissero on Twitter ),"Fantasy Impact: Uiagalelei had a strong preseason, passing for 244 yards and two touchdowns. He will serve as the third quarterback behind backup Trey Lance and starter Justin Herbert.",Category: Transactions
Ainias Smith,"Wed, Aug 27th 2:42pm EDT",The Panthers have signed WR Ainias Smith to their practice squad. (Source: Joe Person on Twitter),Fantasy Impact: Smith was cut from the Eagles roster ahead of the 53-man deadline. He will provide depth at wide receiver after registering 41 yards and a touchdown on seven receptions in his rookie season.,Category: Transactions
